min_salary,remote_allowed,formatted_experience_level,location,employee_count,industries,company
,,Entry level,"Little River, SC",1171.0,Medical Equipment Manufacturing,HearingLife
,,,"Beaver Dam, WI",300.0,Industrial Machinery Manufacturing,"Metalcraft of Mayville, Inc."
,,,"Bessemer, AL",314.0,Automation Machinery Manufacturing,"U.S. Tsubaki Power Transmission, LLC"
,,Entry level,"Aliso Viejo, CA",36.0,Non-profit Organizations,Episcopal Communities & Services
205956.0,1.0,Mid-Senior level,United States,1260.0,"Technology, Information and Internet","iHerb, LLC"
,1.0,Mid-Senior level,United States,5394.0,Medical Equipment Manufacturing,ZOLL Medical Corporation
,,Entry level,"Daytona Beach, FL",244.0,Automotive,Boyd Group Services Inc.
,,Mid-Senior level,"Sussex, NJ",4039.0,Retail,Acme Markets
,,Entry level,"Aliso Viejo, CA",36.0,Non-profit Organizations,Episcopal Communities & Services
,1.0,Entry level,United States,23.0,Staffing and Recruiting,STSI (Staffing Technical Services Inc.)
,,,"Hammond, IN",306.0,Engineering Services,"Sigma Technologies, Ltd."
58000.0,1.0,Entry level,United States,894.0,Market Research,Escalent
,1.0,Director,"Texas, United States",20277.0,IT Services and IT Consulting,Appen
,,,"Toms River, NJ",26.0,Hospitals and Health Care,"Adelphi Medical Staffing, LLC"
,,Mid-Senior level,"St Clair Shores, Michigan, United States",1.0,Veterinary Services,Vet Doc Hospitals
,,Associate,"New York, United States",16736.0,Software Development,Stealth Startup
,1.0,Entry level,"Raleigh, NC",3.0,Hospitality,My Travel Connection
,1.0,Entry level,"Hartford, CT",3.0,Hospitality,My Travel Connection
,,Mid-Senior level,"Minden, NV",16736.0,Medical Equipment Manufacturing,Stealth Startup
125000.0,1.0,Mid-Senior level,"Coeur d'Alene, ID",358.0,Financial Services,J. Galt
,,,"La Grande, OR",49.0,Retail Building Materials and Garden Equipment,TAL Building Centers
,,Mid-Senior level,"Fox River Grove, IL",3947.0,Retail,Torrid
,,,"Mayville, WI",300.0,Industrial Machinery Manufacturing,"Metalcraft of Mayville, Inc."
,,Entry level,"Altadena, CA",36.0,Non-profit Organizations,Episcopal Communities & Services
20.0,,Entry level,"Waukesha, WI",244.0,Automotive,Boyd Group Services Inc.
,,Mid-Senior level,"Denver, CO",1.0,Veterinary Services,Vet Doc Hospitals
,1.0,Mid-Senior level,"Nashville, TN",60.0,Software Development,NOVALINK SOLUTIONS LLC
121000.0,,Mid-Senior level,"Orlando, FL",2.0,Industrial Machinery Manufacturing,head-huntress.com
25.0,,Mid-Senior level,"Oakland, CA",48.0,Truck Transportation,Conexwest
,,Associate,"Minden, NV",16736.0,Medical Equipment Manufacturing,Stealth Startup
,,,"Portland, OR",51.0,Advertising Services,The Program
,,Mid-Senior level,"Florence, KY",863.0,Software Development,Stealth
,,Mid-Senior level,"Florence, KY",863.0,Software Development,Stealth
96000.0,,Mid-Senior level,"Broomfield, CO",75307.0,Accounting,Danone
85000.0,,Entry level,"Swedesboro, NJ",4499.0,Wholesale,Core-Mark International
125000.0,1.0,Mid-Senior level,"Richmond, VA",358.0,Financial Services,J. Galt
,,,"Portland, OR",51.0,Advertising Services,The Program
,,,"Edison, NJ",,,
125000.0,1.0,Mid-Senior level,"Rapid City, SD",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Yuma, AZ",358.0,Financial Services,J. Galt
60000.0,1.0,Mid-Senior level,United States,894.0,Market Research,Escalent
,,,Los Angeles Metropolitan Area,20.0,Hospitals and Health Care,Maxima Therapy
,,Mid-Senior level,"Santa Rosa, CA",1.0,Veterinary Services,Vet Doc Hospitals
,,,"Lathrop, CA",48.0,"Appliances, Electrical, and Electronics Manufacturing",Conexwest
125000.0,1.0,Mid-Senior level,"Sheboygan, WI",358.0,Financial Services,J. Galt
60000.0,,,"Portland, OR",51.0,Advertising Services,The Program
125000.0,1.0,Mid-Senior level,Urbana-Champaign Area,358.0,Financial Services,J. Galt
,1.0,Director,"Texas, United States",20277.0,IT Services and IT Consulting,Appen
,,,"Mays Landing, NJ",28447.0,Retail,Ulta Beauty
14.0,,Mid-Senior level,"Marietta, GA",244.0,Automotive,Boyd Group Services Inc.
,,Mid-Senior level,"San Jose, CA",,Pharmaceutical Manufacturing,
,,Mid-Senior level,"Pittsburgh, PA",1.0,Veterinary Services,Vet Doc Hospitals
18.0,,,"Lathrop, CA",48.0,"Appliances, Electrical, and Electronics Manufacturing",Conexwest
,,Associate,Greater Sacramento,16736.0,Medical Equipment Manufacturing,Stealth Startup
125000.0,1.0,Mid-Senior level,"Chico, CA",358.0,Financial Services,J. Galt
,,,"Omaha, NE",3.0,Hospitals and Health Care,Vertivert Inc
70000.0,,,"Omaha, NE",863.0,Wellness and Fitness Services,Stealth
,,Mid-Senior level,"New Jersey, United States",3.0,Business Consulting and Services,Vertivert Inc
125000.0,1.0,Mid-Senior level,"Philadelphia, PA",358.0,Financial Services,J. Galt
,,,"New York, NY",0.0,"Appliances, Electrical, and Electronics Manufacturing",Supertrades LLC
,,Mid-Senior level,"New York, NY",88891.0,Internet Marketplace Platforms,Uber
,,Mid-Senior level,"San Francisco, CA",88891.0,Internet Marketplace Platforms,Uber
125000.0,1.0,Mid-Senior level,"Charlottesville, VA",358.0,Financial Services,J. Galt
,,,"New York, NY",,,
125000.0,1.0,Mid-Senior level,New York City Metropolitan Area,358.0,Financial Services,J. Galt
56.0,,Mid-Senior level,"El Centro, CA",5680.0,Food and Beverage Services,VONS
,,Mid-Senior level,"Bellevue, WA",20277.0,IT Services and IT Consulting,Appen
20.0,,Entry level,"Milwaukee, WI",244.0,Automotive,Boyd Group Services Inc.
,,,"Rochester, New York Metropolitan Area",56.0,Real Estate,Barrington Residential
,,Mid-Senior level,"Syracuse, NY",1.0,Veterinary Services,Vet Doc Hospitals
,,Associate,"Menlo Park, CA",13.0,Hospitals and Health Care,MFS Talent
,,,"Toms River, NJ",26.0,Hospitals and Health Care,"Adelphi Medical Staffing, LLC"
,,Mid-Senior level,"Denton, TX",11624.0,Higher Education,University of North Texas
,,Entry level,"Denton, TX",11624.0,Higher Education,University of North Texas
,,Mid-Senior level,"Minden, NV",,Pharmaceutical Manufacturing,
125000.0,1.0,Mid-Senior level,"Traverse City, MI",358.0,Financial Services,J. Galt
,,Mid-Senior level,"Minden, NV",,Pharmaceutical Manufacturing,
125000.0,1.0,Mid-Senior level,Louisville Metropolitan Area,358.0,Financial Services,J. Galt
,,Mid-Senior level,"Florence, KY",863.0,Software Development,Stealth
,,Associate,"Huntsville, AL",863.0,Medical Equipment Manufacturing,Stealth
125000.0,1.0,Mid-Senior level,Beaumont-Port Arthur Area,358.0,Financial Services,J. Galt
,,Mid-Senior level,"New York, United States",3.0,Business Consulting and Services,Vertivert Inc
,,Mid-Senior level,"House, NM",754.0,Law Enforcement,Cambridgeshire Constabulary
125000.0,1.0,Mid-Senior level,"York, PA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,Greater Palm Bay-Melbourne-Titusville Area,358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,Crestview-Fort Walton Beach-Destin Area,358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Salinas, CA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"The Villages, FL",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Dunn, NC",358.0,Financial Services,J. Galt
,,,"Cranberry Township, PA",345.0,Retail,Pure Hockey
,,Mid-Senior level,"San Jose, CA",,Pharmaceutical Manufacturing,
,,Entry level,"Fort Worth, TX",1253.0,Higher Education,UNT Health Science Center
18.01,,Entry level,"Inglewood, CA",64.0,Staffing and Recruiting,Nurse First Travel Agency
30.0,,Entry level,"Fort Wayne, IN",70.0,Hospitals and Health Care,RD NUTRITION CONSULTANTS LLC
,1.0,Entry level,"Dallas, TX",3.0,Hospitality,My Travel Connection
125000.0,1.0,Mid-Senior level,"Wenatchee, WA",358.0,Financial Services,J. Galt
,,Mid-Senior level,"Florence, KY",863.0,Software Development,Stealth
125000.0,1.0,Mid-Senior level,"Jackson, TN",358.0,Financial Services,J. Galt
,,Mid-Senior level,"Hicksville, NY",3.0,Architecture and Planning,Vertivert Inc
,,Director,"Westlake Village, CA",39.0,Biotechnology Research,Bestinfo Systems LLC
100000.0,,Mid-Senior level,"Orange, CA",39.0,Mental Health Care,Bestinfo Systems LLC
125000.0,1.0,Mid-Senior level,"Los Angeles, CA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Poughkeepsie, NY",358.0,Financial Services,J. Galt
,,Entry level,"Milwaukee, WI",193.0,Real Estate,Roers Companies
,,,"Oakland, CA",48.0,Truck Transportation,Conexwest
125000.0,1.0,Mid-Senior level,"Winchester, VA",358.0,Financial Services,J. Galt
,,,"Omaha, NE",3.0,Mental Health Care,Vertivert Inc
50000.0,,,"Omaha, NE",3.0,Outsourcing and Offshoring Consulting,Vertivert Inc
,,Mid-Senior level,"Florence, KY",863.0,Software Development,Stealth
125000.0,1.0,Mid-Senior level,"State College, PA",358.0,Financial Services,J. Galt
96000.0,,Mid-Senior level,"Broomfield, CO",75307.0,Accounting,Danone
125000.0,1.0,Mid-Senior level,"Idaho Falls, ID",358.0,Financial Services,J. Galt
70000.0,,Mid-Senior level,"Broomfield, CO",75307.0,Accounting,Danone
125000.0,1.0,Mid-Senior level,"Roanoke, VA",358.0,Financial Services,J. Galt
,,,Washington DC-Baltimore Area,239.0,Non-profit Organizations,SOME (So Others Might Eat)
,,Executive,"Vacaville, CA",863.0,Pharmaceutical Manufacturing,Stealth
125000.0,1.0,Mid-Senior level,"Staunton, VA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Iowa City, IA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Toledo, Ohio Metropolitan Area",358.0,Financial Services,J. Galt
,,,"Stowe, VT",,,
125000.0,1.0,Mid-Senior level,"Bowling Green, KY",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Kalamazoo, MI",358.0,Financial Services,J. Galt
,,Entry level,"Burlington, MA",863.0,Medical Equipment Manufacturing,Stealth
,,,San Francisco Bay Area,341.0,Civil Engineering,RailPros
125000.0,1.0,Mid-Senior level,"Baltimore, MD",358.0,Financial Services,J. Galt
,,,"Lathrop, CA",48.0,"Transportation, Logistics, Supply Chain and Storage",Conexwest
,,Internship,"Fort Worth, TX",1253.0,Higher Education,UNT Health Science Center
140000.0,,Associate,"Texarkana, TX",0.0,Hospitals and Health Care,woodside health and wellness
,1.0,Entry level,"New York, NY",3.0,Hospitality,My Travel Connection
125000.0,1.0,Mid-Senior level,Greater Eugene-Springfield Area,358.0,Financial Services,J. Galt
,,Mid-Senior level,"Minden, NV",,Pharmaceutical Manufacturing,
125000.0,1.0,Mid-Senior level,"Kankakee, IL",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Sierra Vista, AZ",358.0,Financial Services,J. Galt
,,Mid-Senior level,"Florence, KY",863.0,Software Development,Stealth
125000.0,1.0,Mid-Senior level,"Pittsburgh, PA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Williamsport, PA",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Boston, MA",358.0,Financial Services,J. Galt
,,Entry level,"New York, NY",661.0,Education Administration Programs,Democracy Prep Public Schools
125000.0,1.0,Mid-Senior level,"Gainesville, FL",358.0,Financial Services,J. Galt
125000.0,1.0,Mid-Senior level,"Portland, Maine Metropolitan Area",358.0,Financial Services,J. Galt
,,Mid-Senior level,"Oroville, CA",89.0,Staffing and Recruiting,Prospect Health
,1.0,,United States,2.0,Software Development,Waivly
200000.0,,Mid-Senior level,"New London, WI",1849.0,Human Resources Services,gpac
