min_salary,remote_allowed,formatted_experience_level,location,employee_count,industries,company
14705.477621440565,0,0,2352,1171.0,0,0
280726.6227338657,0,2,275,300.0,1,1
8465.294709919895,0,2,339,314.0,2,2
17.805,0,0,55,36.0,3,3
205956.0,1,2,4203,1260.0,4,4
30022.333333333332,1,2,4203,5394.0,0,5
55536.75022754717,0,0,1006,244.0,5,6
45640.46466008733,0,2,4034,4039.0,6,7
17.805,0,0,55,36.0,3,3
30022.333333333332,1,0,4203,23.0,7,8
56074.62686567165,0,1,1750,306.0,8,9
58000.0,1,0,4203,894.0,9,10
65000.0,1,3,4095,20277.0,10,11
74519.76879484253,0,2,4131,26.0,11,12
30.775,0,2,3913,1.0,12,13
22034.0,0,4,2927,16736.0,13,14
8251.756140553582,1,0,3422,3.0,14,15
21.333333333333332,1,0,1783,3.0,14,15
1000.4437090445432,0,2,2696,16736.0,0,14
125000.0,1,2,824,358.0,15,16
12588.611154883529,0,0,2161,49.0,16,17
47719.91453780743,0,2,1443,3947.0,6,18
25505.600883969575,0,2,2559,300.0,1,1
10259.767218729308,0,0,72,36.0,3,3
20.0,0,0,4350,244.0,5,6
82546.22952070845,0,2,1049,1.0,12,13
39689.840363939824,1,2,2860,60.0,13,19
121000.0,0,2,3122,2.0,1,20
25.0,0,2,3055,48.0,17,21
999.9332725680833,0,4,2696,16736.0,0,14
55000.0,0,0,3364,51.0,18,22
76118.0150723249,0,2,1368,863.0,13,23
76118.0150723249,0,2,1368,863.0,13,23
96000.0,0,2,504,75307.0,19,24
85000.0,0,0,4039,4499.0,20,25
125000.0,1,2,3487,358.0,15,16
55000.0,0,0,3364,51.0,18,22
56080.0,0,1,1181,7001.0,7,1397
125000.0,1,2,3435,358.0,15,16
125000.0,1,2,4614,358.0,15,16
60000.0,1,2,4203,894.0,9,10
31497.700941319028,0,2,2392,20.0,11,27
35.0,0,2,3690,1.0,12,13
18.0,0,0,2251,48.0,22,21
125000.0,1,2,3757,358.0,15,16
60000.0,0,0,3364,51.0,18,22
125000.0,1,2,4213,358.0,15,16
65000.0,1,3,4095,20277.0,10,11
14889.64623993331,0,3,2557,28447.0,6,28
14.0,0,2,2505,244.0,5,6
145000.0,0,2,3647,12754.903019054434,23,6640
69092.0118312666,0,2,3297,1.0,12,13
18.0,0,0,2251,48.0,22,21
67565.22694605013,0,4,1663,16736.0,0,14
125000.0,1,2,744,358.0,15,16
59105.34684247073,0,2,3095,3.0,11,29
70000.0,0,1,3095,863.0,24,23
9508.785538053153,0,2,2905,3.0,25,29
125000.0,1,2,3266,358.0,15,16
110000.0,0,2,2925,0.0,22,30
110000.0,0,2,2925,88891.0,26,31
19.0,0,2,3645,88891.0,26,31
125000.0,1,2,710,358.0,15,16
80013.77333333333,0,0,2925,29850.666666666668,28,35
125000.0,1,2,2924,358.0,15,16
56.0,0,2,1192,5680.0,27,32
190572.2343610208,0,2,299,20277.0,10,11
20.0,0,0,2695,244.0,5,6
112551.69850727773,0,2,3529,56.0,28,33
18.0,0,2,4046,1.0,12,13
56847.98907138533,0,4,2605,13.0,11,34
74519.76879484253,0,2,4131,26.0,11,12
76247.7304861474,0,2,1046,11624.0,29,35
76144.21067191003,0,0,1046,11624.0,29,35
47839.5218841294,0,2,2696,2289.2336584154864,23,7720
125000.0,1,2,4149,358.0,15,16
47839.5218841294,0,2,2696,2289.2336584154864,23,7720
125000.0,1,2,2401,358.0,15,16
76118.0150723249,0,2,1368,863.0,13,23
25673.999999999996,0,4,1946,863.0,0,23
125000.0,1,2,274,358.0,15,16
22034.0,0,2,2927,3.0,25,29
25674.000000000004,0,2,1919,754.0,30,36
125000.0,1,2,4600,358.0,15,16
125000.0,1,2,1654,358.0,15,16
125000.0,1,2,939,358.0,15,16
125000.0,1,2,3619,358.0,15,16
125000.0,1,2,4097,358.0,15,16
125000.0,1,2,1119,358.0,15,16
98234.84795320111,0,2,926,345.0,6,37
145000.0,0,2,3647,12754.903019054434,23,6640
54069.03466497526,0,0,1436,1253.0,29,38
18.01,0,0,1976,64.0,7,39
30.0,0,0,1435,70.0,11,40
32.01626123751157,1,0,972,3.0,14,15
125000.0,1,2,4372,358.0,15,16
76118.0150723249,0,2,1368,863.0,13,23
125000.0,1,2,2007,358.0,15,16
21.333333333333332,0,2,1840,3.0,31,29
63730.29989658738,0,3,4434,39.0,32,41
100000.0,0,2,3111,39.0,33,41
125000.0,1,2,2393,358.0,15,16
125000.0,1,2,3377,358.0,15,16
16.0,0,0,2695,193.0,28,42
25.0,0,2,3055,48.0,17,21
125000.0,1,2,4527,358.0,15,16
49981.425915965134,0,2,3095,3.0,33,29
50000.0,0,2,3095,3.0,34,29
76118.0150723249,0,2,1368,863.0,13,23
125000.0,1,2,3945,358.0,15,16
96000.0,0,2,504,75307.0,19,24
125000.0,1,2,1957,358.0,15,16
70000.0,0,2,504,75307.0,19,24
125000.0,1,2,3519,358.0,15,16
120519.96457707508,0,2,4329,239.0,3,43
